,Opfikon_Balsberg_normal,StGallen_Blumenbergplatz_normal,StGallen_Stuelegg_normal,Zuerich_Schimmelstrasse_normal,Zuerich_Stampfenbachstrasse_normal,Opfikon_Balsberg_covid,StGallen_Blumenbergplatz_covid,StGallen_Stuelegg_covid,Zuerich_Schimmelstrasse_covid,Zuerich_Stampfenbachstrasse_covid
0,7.832116650964731,2.716572446736635,2.6428389079070924,3.748337731878831,11.801995773792422,8.872682215179806,6.509074788364795,4.230737733147058,19.252340846099365,8.636020015517232
1,14.525613356739868,5.832467150435695,1.4750866662483237,16.79622091057104,16.537037373205436,6.4651642446449635,7.7586026749818595,1.4824236790633554,9.3261912259708,6.7004978609409065
2,12.18865094597793,17.171738344818195,7.79089487005557,30.914623803145787,14.382023370196302,4.085473520808259,17.28977803804795,8.525319091552097,17.63403850334254,5.179425294838958
3,11.66968673883839,14.922389280142024,2.586598206745825,28.731602058439545,9.581784106350735,5.844425534399114,13.645460302662942,5.1419224214636365,21.09091541569499,10.485097429652377
4,13.711358189472493,2.3606001363394977,4.493767078512581,12.85434185758224,7.17810881258499,5.7125994514113865,4.630028823201262,3.8474489303227375,9.419053846659326,1.0345196168246393
5,8.502217964026515,14.508616762524522,6.434483741433093,13.35671759285218,9.189398610071768,2.02248044736721,12.835368592247589,5.903002796093445,9.951065399137594,3.7379786744467425
6,11.588660780926173,5.432603923921814,3.2852300956057783,17.07343361881892,15.479332722771984,7.548194971615437,3.965854889940536,1.6607766267546324,7.821526808471919,6.811492978939233
7,9.053402052303431,10.308509333103947,3.7946485732886823,7.802628333429566,7.076623818238576,1.793912879531513,16.84226591474143,5.723228028017697,13.330909464647847,5.258525081989016
8,14.71438570536209,8.522892336673989,4.426067468588552,19.192560332003243,16.166297142072636,7.820216070102133,7.387470048545352,3.115698761172044,11.846179255786359,7.279082252615095
9,14.916970987128556,9.193993143917886,1.834966162232716,26.821626951208085,17.47080555037542,6.9996954248356715,7.904893337832784,2.4148221665688063,13.38360947142894,10.427202101052101
10,9.265415247956753,6.968802586795041,3.379680802962716,15.335967423075077,9.605589007393016,5.500275201446435,3.3582592198395633,1.5697993177999456,2.691544516470538,2.542044068728465
11,11.998154978681091,3.1589933308929683,1.1087151810110194,20.073725425774935,11.399785748945138,2.7364853069504327,2.6528906508112886,0.8818142990144942,9.190881053786933,2.6293234278396964
